runner,season,timeofday,distance,avghr,maxhr,maxcadence,avgspeed,maxspeed,elevgain,elevloss,elevchange,course
Leah,SPRING,AFTERNOON,3.16,173,185,179,7.302231237,8.37,89,164,-75,DOWNHILL
Leah,SPRING,EVENING,3.15,171,186,179,6.857142857,8.53,79,164,-85,DOWNHILL
Leah,WINTER,EVENING,3.12,164,179,174,6.25,7.66,75,180,-105,DOWNHILL
Leah,AUTUMN,EVENING,3.11,170,183,178,7.045009785,10.47,56,164,-108,DOWNHILL
Leah,WINTER,EVENING,3.11,162,187,177,6.896551724,9.05,62,154,-92,DOWNHILL
Leah,WINTER,EVENING,3.11,166,188,180,7.171314741,8.43,69,171,-102,DOWNHILL
Leah,WINTER,EVENING,3.11,167,184,176,7.058823529,8.22,62,154,-92,DOWNHILL
Leah,SPRING,EVENING,3.11,155,175,177,7.302231237,8.24,66,157,-91,DOWNHILL
Leah,WINTER,AFTERNOON,2.51,131,158,231,3.96039604,6.64,673,673,0,FLAT
Leah,WINTER,EVENING,2.13,162,180,177,6.617647059,7.74,59,177,-118,DOWNHILL
Leah,WINTER,EVENING,2.02,131,161,250,3.435114504,7.64,666,650,16,FLAT
Leah,SPRING,EVENING,1.69,163,182,175,7.003891051,7.88,16,102,-86,DOWNHILL
Leah,SPRING,EVENING,1.65,170,183,175,7.157057654,8.09,13,102,-89,DOWNHILL
Leah,WINTER,AFTERNOON,1.02,161,178,174,6.153846154,6.84,66,36,30,UPHILL
